,Grupo
153066,0
420294,2
432552,2
177306,2
170478,2
125556,2
125424,2
153096,0
420282,2
166128,2
432588,2
432576,2
432582,2
153084,0
420288,2
170370,2
432528,2
420510,2
128136,2
128142,0
166464,0
128148,0
420516,2
432516,2
420492,2
152982,1
432534,2
127920,2
153000,2
420504,2
172902,2
166458,0
432540,2
128118,2
432498,2
432666,2
432660,2
166110,2
153918,2
432630,2
123846,2
154992,0
179958,2
432684,2
170466,2
177420,2
154158,2
432672,2
123840,2
125286,1
432600,2
153510,2
420276,2
432594,2
432624,2
170376,2
420270,2
432618,2
177396,1
153522,2
173766,2
432696,2
420948,2
170574,2
152682,2
420960,2
420936,0
166746,2
170364,2
174312,2
431490,0
109428,2
431652,2
420972,2
152646,2
423024,2
431004,2
133728,0
152634,0
423180,2
152670,2
170622,2
133614,2
152664,2
421020,2
133722,0
152658,2
422478,2
176694,2
420534,2
152778,2
152784,2
420546,2
166506,0
152766,2
420564,2
172806,2
432396,2
432492,2
128466,2
432402,2
170484,2
152796,2
420528,2
152760,2
166590,2
130854,2
420900,2
152700,2
420930,0
420630,2
170496,2
420576,2
177210,2
130734,2
432708,2
435132,2
160890,2
170406,2
177900,2
170388,2
177792,2
173718,2
157272,2
177912,2
433764,2
118344,2
177990,2
155916,2
118638,0
177594,2
61326,0
434592,2
177906,2
434124,2
177816,2
177882,2
173652,0
170394,2
103644,2
177840,2
103650,2
158556,2
435258,2
177894,2
435252,2
435318,2
157314,2
113724,2
170400,2
155910,2
97716,2
177516,2
164454,2
173112,0
177462,2
432726,2
432750,2
170454,2
173754,2
178836,2
97770,2
179406,2
432714,2
170340,0
173106,0
122622,2
179478,0
432720,2
170460,2
177456,2
170448,2
433530,2
155472,2
118680,2
118806,2
433710,2
433194,2
170382,2
178092,2
142824,2
429420,2
443130,2
426276,2
142770,2
429624,0
426102,2
142764,2
443124,2
151122,2
174822,2
425640,0
174816,2
428652,0
427512,2
150660,2
427530,2
443136,2
142914,2
150678,2
174810,2
427536,2
150684,2
142848,2
142836,2
71082,2
427974,2
427962,2
142842,2
174654,0
430026,2
169512,0
430092,2
425178,2
430170,2
430278,2
151950,0
425184,2
425172,2
140982,2
151938,2
169620,0
174828,2
170352,2
425634,2
171810,2
425628,2
151134,2
171816,2
425382,2
430080,0
170334,0
174702,0
427200,2
443256,2
170328,2
427278,2
148578,2
443250,2
427272,2
427026,2
427254,2
171786,2
174696,2
150228,2
427086,2
427056,2
427110,2
427122,2
427164,2
427044,2
150168,2
171780,2
427128,2
427050,2
427014,2
69198,1
426870,2
150630,2
427380,0
443142,2
426810,0
171750,2
171798,2
427386,2
170298,2
427506,2
150654,2
427374,2
170346,2
427392,2
174672,0
170310,2
148572,2
427284,2
427008,2
171792,2
427290,2
427296,2
443208,2
427350,1
426990,2
427338,2
174732,2
150618,2
443202,2
427332,2
170316,0
427002,2
430788,2
152262,2
423654,2
424458,2
152598,2
424476,2
176076,2
136194,2
430776,2
136050,0
423774,2
136062,2
430770,2
152268,0
430782,2
423660,2
136044,0
136206,2
424446,2
424452,2
136056,2
135330,0
174318,2
152016,2
424482,2
135246,2
430290,2
430998,2
423192,2
424488,2
152226,2
430992,2
424506,2
135336,0
442926,2
430836,2
425166,2
175590,0
423348,2
430794,2
